,Frequency,GasLimit,detailedLatency
0,1,0,0.0
1,1,2,47.124
2,1,4,49.152
3,1,6,49.76738461538462
4,1,8,49.31011111111111
5,1,10,49.2315
6,1,12,49.68513636363636
7,1,14,48.5029090909091
8,1,16,49.91
9,1,18,49.15533333333334
10,1,20,54.138
11,2,0,0.0
12,2,2,47.124
13,2,4,49.152
14,2,6,49.76738461538462
15,2,8,49.31011111111111
16,2,10,49.2315
17,2,12,49.68513636363636
18,2,14,48.5029090909091
19,2,16,49.91
20,2,18,49.15533333333334
21,2,20,54.138
22,4,0,33.068
23,4,2,32.2625
24,4,4,39.6
25,4,6,33.836734694
26,4,8,33.9382716049
27,4,10,33.0618556701
28,4,12,33.54545454544
29,4,14,33.32547297297297
30,4,16,33.34662162
31,4,18,32.7
32,4,20,32.69875
33,8,0,42.75
34,8,2,44.1
35,8,4,43.20754716981
36,8,6,46.948453608245
37,8,8,42.47826086957
38,8,10,45.69743589743
39,8,12,48.77528089887
40,8,14,49.311475409835
41,8,16,44.01075268817
42,8,18,44.02127659575
43,8,20,43.17391304348
